ID,ESTACION,FECHA,LONGITUD,LATITUD,ALTITUD,O3,UV_MAX,PP,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,FECHA_CORTE
44,MARCAPOMACOCHA,20150714,-76.32508,-11.40443,4443,240.3,10,,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
45,MARCAPOMACOCHA,20150715,-76.32508,-11.40443,4443,240.1,9,,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
46,MARCAPOMACOCHA,20150716,-76.32508,-11.40443,4443,241.3,11,,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
47,MARCAPOMACOCHA,20150717,-76.32508,-11.40443,4443,240.4,10,,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
48,MARCAPOMACOCHA,20150718,-76.32508,-11.40443,4443,242.1,8,0.1,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
49,MARCAPOMACOCHA,20150719,-76.32508,-11.40443,4443,242.4,10,0.8,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
50,MARCAPOMACOCHA,20150720,-76.32508,-11.40443,4443,242,10,0.3,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
51,MARCAPOMACOCHA,20150721,-76.32508,-11.40443,4443,244.7,10,,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
52,MARCAPOMACOCHA,20150722,-76.32508,-11.40443,4443,242.7,10,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
53,MARCAPOMACOCHA,20150723,-76.32508,-11.40443,4443,239.3,11,7.4,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
54,MARCAPOMACOCHA,20150724,-76.32508,-11.40443,4443,242.8,11,21.1,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
55,MARCAPOMACOCHA,20150725,-76.32508,-11.40443,4443,241.5,11,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
56,MARCAPOMACOCHA,20150726,-76.32508,-11.40443,4443,240.3,11,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
57,MARCAPOMACOCHA,20150727,-76.32508,-11.40443,4443,245.8,11,0.1,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
58,MARCAPOMACOCHA,20150728,-76.32508,-11.40443,4443,244.1,11,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
59,MARCAPOMACOCHA,20150729,-76.32508,-11.40443,4443,240.7,11,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
60,MARCAPOMACOCHA,20150730,-76.32508,-11.40443,4443,235.6,11,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
61,MARCAPOMACOCHA,20150731,-76.32508,-11.40443,4443,233.7,11,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
62,MARCAPOMACOCHA,20150801,-76.32508,-11.40443,4443,,11,0.1,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
63,MARCAPOMACOCHA,20150802,-76.32508,-11.40443,4443,,11,0.2,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
64,MARCAPOMACOCHA,20150803,-76.32508,-11.40443,4443,,11,0.1,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
65,MARCAPOMACOCHA,20150804,-76.32508,-11.40443,4443,,11,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
66,MARCAPOMACOCHA,20150805,-76.32508,-11.40443,4443,,11,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
67,MARCAPOMACOCHA,20150806,-76.32508,-11.40443,4443,,11,0.2,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
68,MARCAPOMACOCHA,20150807,-76.32508,-11.40443,4443,,11,0.1,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
69,MARCAPOMACOCHA,20150808,-76.32508,-11.40443,4443,,11,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
70,MARCAPOMACOCHA,20150809,-76.32508,-11.40443,4443,239.1,12,0.1,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
71,MARCAPOMACOCHA,20150810,-76.32508,-11.40443,4443,238.3,12,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
72,MARCAPOMACOCHA,20150811,-76.32508,-11.40443,4443,239.4,9,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
73,MARCAPOMACOCHA,20150812,-76.32508,-11.40443,4443,238.3,11,0.1,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
74,MARCAPOMACOCHA,20150813,-76.32508,-11.40443,4443,238.1,13,3.8,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
75,MARCAPOMACOCHA,20150814,-76.32508,-11.40443,4443,240.4,12,13.2,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
76,MARCAPOMACOCHA,20150815,-76.32508,-11.40443,4443,238,14,4.1,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
77,MARCAPOMACOCHA,20150816,-76.32508,-11.40443,4443,237.9,10,1,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
78,MARCAPOMACOCHA,20150817,-76.32508,-11.40443,4443,,6,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
79,MARCAPOMACOCHA,20150818,-76.32508,-11.40443,4443,241,13,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
80,MARCAPOMACOCHA,20150819,-76.32508,-11.40443,4443,243.7,12,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
81,MARCAPOMACOCHA,20150820,-76.32508,-11.40443,4443,242,12,0.1,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
82,MARCAPOMACOCHA,20150821,-76.32508,-11.40443,4443,246.1,11,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
83,MARCAPOMACOCHA,20150822,-76.32508,-11.40443,4443,241,13,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
84,MARCAPOMACOCHA,20150823,-76.32508,-11.40443,4443,239.5,12,0.2,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
85,MARCAPOMACOCHA,20150824,-76.32508,-11.40443,4443,239.8,13,5,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
86,MARCAPOMACOCHA,20150825,-76.32508,-11.40443,4443,241.9,13,2.2,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
87,MARCAPOMACOCHA,20150826,-76.32508,-11.40443,4443,241.2,14,0.1,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
88,MARCAPOMACOCHA,20150827,-76.32508,-11.40443,4443,241.6,13,0.1,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
89,MARCAPOMACOCHA,20150828,-76.32508,-11.40443,4443,239.8,10,0.1,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
90,MARCAPOMACOCHA,20150829,-76.32508,-11.40443,4443,243.9,13,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
91,MARCAPOMACOCHA,20150830,-76.32508,-11.40443,4443,242.7,13,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
92,MARCAPOMACOCHA,20150831,-76.32508,-11.40443,4443,242.3,13,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
93,MARCAPOMACOCHA,20150901,-76.32508,-11.40443,4443,,,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
94,MARCAPOMACOCHA,20150902,-76.32508,-11.40443,4443,,,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
95,MARCAPOMACOCHA,20150903,-76.32508,-11.40443,4443,,7,1.2,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
96,MARCAPOMACOCHA,20150904,-76.32508,-11.40443,4443,,10,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
97,MARCAPOMACOCHA,20150905,-76.32508,-11.40443,4443,240.4,13,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
98,MARCAPOMACOCHA,20150906,-76.32508,-11.40443,4443,244.6,12,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
99,MARCAPOMACOCHA,20150907,-76.32508,-11.40443,4443,247.3,13,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
100,MARCAPOMACOCHA,20150908,-76.32508,-11.40443,4443,246.6,14,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
101,MARCAPOMACOCHA,20150909,-76.32508,-11.40443,4443,246.8,14,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
102,MARCAPOMACOCHA,20150910,-76.32508,-11.40443,4443,248.4,14,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
103,MARCAPOMACOCHA,20150911,-76.32508,-11.40443,4443,247.6,14,0.4,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
104,MARCAPOMACOCHA,20150912,-76.32508,-11.40443,4443,247.9,14,5,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
105,MARCAPOMACOCHA,20150913,-76.32508,-11.40443,4443,245.5,13,13.5,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
106,MARCAPOMACOCHA,20150914,-76.32508,-11.40443,4443,247.1,13,0.3,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
107,MARCAPOMACOCHA,20150915,-76.32508,-11.40443,4443,248.1,14,1.7,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
108,MARCAPOMACOCHA,20150916,-76.32508,-11.40443,4443,252.4,13,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
109,MARCAPOMACOCHA,20150917,-76.32508,-11.40443,4443,255.6,13,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
110,MARCAPOMACOCHA,20150918,-76.32508,-11.40443,4443,253.6,10,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
111,MARCAPOMACOCHA,20150919,-76.32508,-11.40443,4443,250.3,13,6,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
112,MARCAPOMACOCHA,20150920,-76.32508,-11.40443,4443,251.7,14,10.2,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
113,MARCAPOMACOCHA,20150921,-76.32508,-11.40443,4443,253.1,11,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
114,MARCAPOMACOCHA,20150922,-76.32508,-11.40443,4443,253.5,13,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
115,MARCAPOMACOCHA,20150923,-76.32508,-11.40443,4443,250.4,8,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
116,MARCAPOMACOCHA,20150924,-76.32508,-11.40443,4443,250.2,13,13.1,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
117,MARCAPOMACOCHA,20150925,-76.32508,-11.40443,4443,245.1,9,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
118,MARCAPOMACOCHA,20150926,-76.32508,-11.40443,4443,250.2,14,0.5,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
119,MARCAPOMACOCHA,20150927,-76.32508,-11.40443,4443,247.9,15,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
120,MARCAPOMACOCHA,20150928,-76.32508,-11.40443,4443,251.2,14,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
121,MARCAPOMACOCHA,20150929,-76.32508,-11.40443,4443,244.8,16,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
122,MARCAPOMACOCHA,20150930,-76.32508,-11.40443,4443,253.5,15,0.1,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
123,MARCAPOMACOCHA,20151001,-76.32508,-11.40443,4443,,,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
124,MARCAPOMACOCHA,20151002,-76.32508,-11.40443,4443,,,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
125,MARCAPOMACOCHA,20151003,-76.32508,-11.40443,4443,,,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
126,MARCAPOMACOCHA,20151004,-76.32508,-11.40443,4443,,,5,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
127,MARCAPOMACOCHA,20151005,-76.32508,-11.40443,4443,,,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
128,MARCAPOMACOCHA,20151006,-76.32508,-11.40443,4443,,,5.9,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
129,MARCAPOMACOCHA,20151007,-76.32508,-11.40443,4443,,,2.4,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
130,MARCAPOMACOCHA,20151008,-76.32508,-11.40443,4443,,,1.2,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
131,MARCAPOMACOCHA,20151009,-76.32508,-11.40443,4443,239.5,,1.6,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
132,MARCAPOMACOCHA,20151010,-76.32508,-11.40443,4443,238.1,,0.2,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
133,MARCAPOMACOCHA,20151011,-76.32508,-11.40443,4443,236,15,0.3,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
134,MARCAPOMACOCHA,20151012,-76.32508,-11.40443,4443,,16,0.2,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
135,MARCAPOMACOCHA,20151013,-76.32508,-11.40443,4443,237.8,16,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
136,MARCAPOMACOCHA,20151014,-76.32508,-11.40443,4443,236.5,16,0.1,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
137,MARCAPOMACOCHA,20151015,-76.32508,-11.40443,4443,238.7,16,0.3,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
138,MARCAPOMACOCHA,20151016,-76.32508,-11.40443,4443,236.1,17,2.9,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
139,MARCAPOMACOCHA,20151017,-76.32508,-11.40443,4443,238.3,8,0,JUNIN,YAULI,MARCAPOMACOCHA,120804,20240531
