FECHA,O3,UV_MAX,PP
2020-10-21,244.7,9.666666666666666,16.6
2020-10-22,254.8,12.333333333333334,12.6
2020-10-23,244.0,12.666666666666666,0.3999999999999999
2020-10-24,248.3,13.666666666666666,4.2
2020-10-25,252.6,13.0,10.0
2020-10-26,254.5,11.666666666666666,0.20000000000000018
2020-10-27,251.7,11.333333333333334,1.0
2020-10-28,249.6,9.333333333333334,0.0
2020-10-29,247.4,11.0,0.0
2020-10-30,256.0,13.666666666666666,0.0
2020-10-31,239.6,10.333333333333332,0.0
2020-11-01,241.5,10.333333333333334,0.0
2020-11-02,245.8,11.0,0.0
2020-11-03,241.4,13.333333333333332,0.6000000000000001
2020-11-04,250.0,11.0,0.0
2020-11-05,245.6,11.0,5.0
2020-11-06,252.9,11.0,0.0
2020-11-07,244.0,11.0,0.0
2020-11-08,245.0,11.0,0.0
2020-11-09,243.3,11.0,0.0
2020-11-10,253.1,11.0,0.0
2020-11-11,255.7,13.666666666666666,0.0
2020-11-12,248.2,6.999999999999999,0.3999999999999999
2020-11-13,247.6,11.333333333333334,2.8
2020-11-14,253.8,13.666666666666666,0.0
2020-11-15,250.6,10.666666666666666,1.4
2020-11-16,249.9,11.0,0.0
2020-11-17,245.0,9.666666666666666,0.20000000000000018
2020-11-18,241.0,9.0,1.6
2020-11-19,241.3,11.0,0.20000000000000018
2020-11-20,242.2,14.0,1.2
2020-11-21,252.9,15.0,0.6000000000000001
2020-11-22,254.9,13.666666666666666,0.0
2020-11-23,242.5,15.0,3.8
2020-11-24,243.4,15.666666666666666,0.6000000000000001
2020-11-25,246.6,11.0,0.0
2020-11-26,250.0,11.0,0.0
2020-11-27,251.0,13.0,0.0
2020-11-28,242.6,11.0,7.800000000000001
2020-11-29,246.1,13.666666666666668,2.8
2020-11-30,242.1,12.333333333333334,6.4
2020-12-01,236.9,10.333333333333332,0.20000000000000018
2020-12-02,243.4,13.0,4.8
2020-12-03,240.9,14.333333333333332,4.2
2020-12-04,239.7,16.0,2.4
2020-12-05,241.13333333333333,12.666666666666666,6.4
2020-12-06,240.7,11.0,8.999999999999998
2020-12-07,239.7,16.0,2.4
2020-12-08,243.16666666666666,13.0,11.2
2020-12-09,241.66666666666666,12.666666666666666,1.2
2020-12-10,238.2,8.0,0.0
2020-12-11,246.56666666666666,13.333333333333332,10.2
2020-12-12,238.2,8.0,0.0
2020-12-13,238.2,8.0,0.0
2020-12-14,236.9,10.333333333333332,0.20000000000000018
2020-12-15,240.86666666666667,12.0,4.4
2020-12-16,244.1,10.333333333333332,4.6
2020-12-17,243.16666666666666,13.0,11.2
2020-12-18,247.33333333333334,14.666666666666668,12.6
2020-12-19,240.06666666666666,11.0,8.8
2020-12-20,244.1,10.333333333333332,4.6
2020-12-21,239.7,16.0,2.4
2020-12-22,246.06666666666666,13.333333333333332,13.4
2020-12-23,240.5,11.333333333333334,3.2
2020-12-24,243.2,10.666666666666666,5.6
2020-12-25,242.33333333333334,12.666666666666666,1.4
2020-12-26,240.9,14.333333333333332,4.2
2020-12-27,240.03333333333333,11.666666666666666,1.6
2020-12-28,240.56666666666666,13.333333333333334,5.2
2020-12-29,243.23333333333335,11.333333333333334,9.8
2020-12-30,238.4,14.0,0.6000000000000001
2020-12-31,242.16666666666666,13.333333333333332,3.4
2021-01-01,242.1,11.666666666666666,8.999999999999998
2021-01-02,243.7,11.0,10.2
2021-01-03,241.2,8.0,22.2
2021-01-04,239.8,13.666666666666668,14.2
2021-01-05,240.9,14.333333333333332,4.2
2021-01-06,239.03333333333333,10.0,11.8
2021-01-07,244.5,14.666666666666668,15.2
2021-01-08,245.3,12.666666666666666,6.2
2021-01-09,241.6,11.0,0.0
2021-01-10,245.7,12.666666666666666,5.4
2021-01-11,241.3,11.0,3.2
2021-01-12,242.0,10.333333333333334,2.8
2021-01-13,244.0,12.666666666666666,8.999999999999998
2021-01-14,241.3,10.0,1.0
2021-01-15,239.03333333333333,10.0,11.8
2021-01-16,242.4,12.666666666666666,0.6000000000000001
2021-01-17,238.2,8.0,0.0
2021-01-18,247.06666666666666,15.0,3.6
2021-01-19,241.2,9.666666666666666,4.2
2021-01-20,246.79999999999998,12.666666666666666,10.0
2021-01-21,241.3,11.666666666666666,14.2
2021-01-22,245.4,13.666666666666668,2.4
2021-01-23,241.4,13.333333333333332,4.4
2021-01-24,242.4,11.0,3.4
2021-01-25,243.33333333333334,9.666666666666666,10.6
2021-01-26,240.8,9.333333333333334,11.2
2021-01-27,241.8,11.333333333333334,9.4
2021-01-28,241.2,9.666666666666666,1.6
2021-01-29,242.1,12.666666666666666,3.6
2021-01-30,244.1,10.333333333333332,4.6
2021-01-31,242.3,6.666666666666666,8.0
2021-02-01,237.9,12.666666666666666,27.0
2021-02-02,242.7,11.333333333333334,2.2
2021-02-03,240.0,9.333333333333334,5.2
2021-02-04,240.4,10.0,8.4
2021-02-05,242.5,12.666666666666666,4.0
2021-02-06,243.1,11.0,6.0
2021-02-07,240.9,10.333333333333334,3.2
2021-02-08,241.7,11.0,0.0
2021-02-09,242.7,11.0,0.0
2021-02-10,241.8,11.0,0.0
2021-02-11,243.9,11.0,0.0
2021-02-12,241.2,9.666666666666666,4.8
2021-02-13,242.9,11.0,0.0
2021-02-14,244.5,10.333333333333334,0.0
2021-02-15,244.0,11.0,0.0
2021-02-16,246.9,10.333333333333334,0.0
2021-02-17,242.5,11.0,0.0
2021-02-18,245.0,11.0,0.0
2021-02-19,247.1,10.333333333333334,0.0
2021-02-20,244.8,10.666666666666666,0.0
2021-02-21,241.5,10.333333333333334,0.0
2021-02-22,239.9,13.333333333333334,0.8
2021-02-23,242.1,13.333333333333334,8.2
2021-02-24,239.6,11.0,2.4
2021-02-25,240.8,11.333333333333334,3.2
2021-02-26,242.7,13.0,1.0
2021-02-27,245.8,11.0,0.0
2021-02-28,242.0,11.333333333333334,4.4
2021-03-01,240.56666666666666,13.333333333333334,5.2
2021-03-02,243.3,11.0,1.6
2021-03-03,245.7,11.0,0.0
2021-03-04,246.0,11.0,0.0
2021-03-05,242.3,6.666666666666666,4.2
2021-03-06,241.7,10.333333333333334,5.6
2021-03-07,240.8,10.0,3.6
2021-03-08,241.8,11.333333333333334,4.4
2021-03-09,245.9,13.333333333333334,6.6
2021-03-10,242.8,9.333333333333334,15.0
2021-03-11,246.5,13.0,11.4
2021-03-12,242.0,10.0,4.0
2021-03-13,244.7,9.333333333333334,5.0
2021-03-14,246.4,11.0,0.0
2021-03-15,243.7,12.666666666666666,4.2
2021-03-16,243.23333333333332,13.333333333333332,1.8
2021-03-17,243.2,10.666666666666666,5.6
2021-03-18,244.9,13.333333333333334,7.6
2021-03-19,242.6,11.0,1.0
2021-03-20,244.1,11.0,0.0
2021-03-21,240.0,13.0,0.0
2021-03-22,246.3,10.666666666666666,8.4
2021-03-23,241.0,12.666666666666666,5.0
2021-03-24,245.20000000000002,11.0,11.6
2021-03-25,247.0,10.666666666666666,7.6
2021-03-26,242.7,12.0,12.0
2021-03-27,243.6,10.333333333333334,0.3999999999999999
2021-03-28,246.0,15.0,0.6000000000000001
2021-03-29,245.8,13.0,0.6000000000000001
2021-03-30,240.86666666666667,12.0,4.4
2021-03-31,240.6,9.666666666666666,5.0
2021-04-01,242.66666666666666,14.0,13.0
2021-04-02,251.8,10.333333333333332,18.4
2021-04-03,246.46666666666667,11.666666666666666,11.0
2021-04-04,251.5,13.333333333333334,8.2
2021-04-05,252.6,14.0,8.0
2021-04-06,253.7,13.333333333333334,3.2
2021-04-07,254.6,13.0,10.0
2021-04-08,247.0,13.0,4.0
2021-04-09,247.7,15.0,12.6
2021-04-10,251.6,13.0,4.0
2021-04-11,247.2,13.333333333333332,3.2
2021-04-12,244.2,10.333333333333332,3.8
2021-04-13,250.1,14.666666666666668,0.8
2021-04-14,246.5,14.333333333333332,0.6000000000000001
2021-04-15,244.5,12.0,10.6
2021-04-16,245.2,9.666666666666666,0.0
2021-04-17,245.6,11.666666666666666,0.0
2021-04-18,250.3,11.0,0.0
2021-04-19,249.9,11.0,0.0
2021-04-20,249.0,11.0,0.0
2021-04-21,245.9,11.0,0.0
2021-04-22,248.3,8.333333333333332,0.0
2021-04-23,248.2,11.0,0.0
2021-04-24,250.8,10.333333333333334,0.0
2021-04-25,249.8,11.0,0.0
2021-04-26,247.4,11.0,0.0
2021-04-27,244.5,10.333333333333334,0.0
2021-04-28,243.8,10.333333333333334,0.0
2021-04-29,245.1,11.0,0.0
2021-04-30,244.7,10.666666666666666,0.0
2021-05-01,238.2,8.0,0.0
2021-05-02,250.5,11.0,0.0
2021-05-03,238.2,8.0,0.0
2021-05-04,250.2,11.0,0.0
2021-05-05,238.5,10.333333333333334,2.0
2021-05-06,245.1,11.0,0.0
2021-05-07,239.1,8.333333333333334,0.0
2021-05-08,238.2,8.0,0.0
2021-05-09,244.4,12.0,2.8
2021-05-10,242.3,6.666666666666666,3.8
2021-05-11,243.0,12.666666666666666,3.4
2021-05-12,243.8,10.333333333333334,0.0
2021-05-13,240.9,12.333333333333334,0.0
2021-05-14,240.8,11.0,0.0
2021-05-15,242.9,11.0,0.0
2021-05-16,244.1,9.666666666666666,5.0
2021-05-17,244.8,9.666666666666666,0.20000000000000018
2021-05-18,243.3,11.0,0.0
2021-05-19,241.8,11.0,0.0
2021-05-20,244.3,11.0,0.0
2021-05-21,247.6,11.0,0.0
2021-05-22,244.8,10.666666666666666,0.0
2021-05-23,243.5,15.0,0.8
2021-05-24,244.8,9.666666666666666,0.8
2021-05-25,242.33333333333334,12.666666666666666,1.4
2021-05-26,244.9,13.0,13.0
2021-05-27,245.5,11.0,0.0
2021-05-28,244.1,11.0,0.0
2021-05-29,243.6,11.0,0.0
2021-05-30,241.7,11.0,0.0
2021-05-31,243.6,11.0,0.0
2021-06-01,245.2,9.666666666666666,0.0
